ShipName;planet;coord_place;direction;password
МCЩT-272;Услилка;25 61;-3 -2;ЛКАЩCЛСУ
ГВЫН-568;Тол-Арда;90 95;5 -3;РДАЫВЛОТ
ГЖPЪ-715;Ярость Горы;60 40;8 -2;ОРЫPЖОРЯ
ULMЦ-578;Лоркиндария;-56 -51;-4 -3;РИЯMLРОЛ
ФЦЗF-568;Фангорн;77 -17;2 -7;ОРНЗЦНАФ
ЭAАЭ-816;Мира;-20 37;-6 -1;ИРААAРИМ
HNОЮ-871;Утопия;-30 86;0 -9;ПИЯОNОТУ
ЭRЗЗ-646;Аглатосия;-5 -8;0 -5;СИЯЗRЛГА
ЗЮГТ-740;Праметия;75 96;7 3;ТИЯГЮАРП
СЩВA-750;Ясмария;60 11;0 -4;РИЯВЩМСЯ
KPЫД-433;Сирмария;-30 -81;-10 -7;РИЯЫPРИС
ЪMPД-305;Парадель;4 -91;-8 -10;ЕЛЬPMРАП
АФKO-611;Царкония;-40 -83;-3 -4;НИЯKФРАЦ
UСXД-311;Харантария;-57 -41;-9 5;РИЯXСРАХ
DXБЗ-272;Мира;-92 79;4 2;ИРАБXРИМ
IZNL-84;Моргариан;-79 93;-2 7;ИАНNZРОМ
ЗGQG-473;Ридайя;36 -81;1 -4;АЙЯQGДИР
VOЪЙ-952;Егана;-83 78;-6 1;АНАЪOАГЕ
HUРS-181;Есендария;-88 79;2 3;РИЯРUЕСЕ
ВTWВ-386;Жимрамир;-91 39;9 6;МИРWTМИЖ
XГYE-349;Варитор;-20 -1;6 7;ТОРYГРАВ
МCSП-434;Гординия;6 -67;-3 6;НИЯSCРОГ
FЬYЗ-289;Руэндария;-73 -93;8 -6;РИЯYЬЭУР
ЯЮHC-766;Зуария;-49 20;4 -5;РИЯHЮАУЗ
ЛFBX-178;Моргариан;41 -2;-8 -2;ИАНBFРОМ
ТLЕV-336;Сиалония;91 2;-4 5;НИЯЕLАИС
ЩQЧУ-140;Тибулония;0 0;4 -4;НИЯЧQБИТ
ЫRWГ-326;Королевство Эребора;-23 43;1 -8;ОРАWRРОК
ЫFНP-80;Ендария;60 -46;-7 -9;РИЯНFДНЕ
ТWТJ-576;Парадель;-13 -15;8 1;ЕЛЬТWРАП
УMAE-221;Парадель;82 -63;5 6;ЕЛЬAMРАП
NKФO-769;Мирфоний;50 -92;-4 -5;НИЙФKРИМ
ЙХJК-208;Идаллия;30 -89;-10 -9;ЛИЯJХАДИ
ЦАKV-491;Гондор;0 0;5 1;ДОРKАНОГ
